frame,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9
26,51.36090087890625,-274.0980224609375,-1619.80615234375,0.2595263722438267,-0.9369536911446675,-0.23401675743489322,0.5836486126033311,-0.04088764308782803,0.8109762620748705,-0.7694155958363239,-0.3470532830749557,0.5362403002299708
27,44.7296142578125,-268.9052429199219,-1631.8975830078125,0.31944733812592224,-0.9191123564408251,-0.23062062874351952,0.5779496978735106,-0.0038912497522606343,0.8160631133088195,-0.7509510935421697,-0.39397631199497146,0.5299576593414425
28,55.078704833984375,-274.21923828125,-1617.00244140625,0.21820933489607275,-0.9464655656377091,-0.23788152350761707,0.5876948917166287,-0.06715633205414286,0.8062907300193981,-0.7791016624384739,-0.31574192012959745,0.5415788395593768
29,64.80189514160156,-277.8785400390625,-1601.430419921875,0.12851797135965048,-0.9651007889991587,-0.22817449049094235,0.5854625739886623,-0.11187300449701602,0.8029433388000555,-0.80044781559835,-0.23678027354070633,0.5506527004980708
30,65.8896484375,-277.7402648925781,-1603.105712890625,0.1327192316539942,-0.9645112374209416,-0.22826230183255755,0.5819703522571296,-0.11058674964069583,0.8056556832156145,-0.8023067459786725,-0.23976789545856686,0.5466399561543995
31,71.57068634033203,-280.3616638183594,-1597.470947265625,0.07548375652861776,-0.9679124074228622,-0.23968265280826542,0.5731108480439181,-0.15458797778971434,0.8047648805565932,-0.8159939695578083,-0.198111404719077,0.5430522193726167
32,69.1876449584961,-284.26763916015625,-1607.8756103515625,0.12801796649727037,-0.9372891247954679,-0.32419206775312936,0.5607350314163778,-0.20121687079691117,0.8031737019158265,-0.8180388895378858,-0.2846065133598404,0.4998114722140514
33,72.34613037109375,-287.98358154296875,-1609.2957763671875,0.1358381861744243,-0.9237716451164537,-0.3580418060166764,0.5567521235724298,-0.22775345041810252,0.7988463173353426,-0.819496833474317,-0.30785437060644405,0.4833742095148208
34,73.30354309082031,-289.5964050292969,-1610.9608154296875,0.12722078856738983,-0.9187883473973703,-0.3736881636379466,0.5562727971219645,-0.24583072982154744,0.7938059129645678,-0.8212036569197663,-0.3088611742550601,0.47982218466780824
35,86.27889251708984,-297.3266296386719,-1608.342529296875,0.10719159504446295,-0.8949951471038565,-0.43300536787939475,0.5922287140880813,-0.2923446751270011,0.7508659941257599,-0.7986082344688173,-0.3369247357874371,0.49870493305477154
